20220401	16:29:45	cd47379d-8aab-4309-bf92-af95a2bbb91b	POST	undefined	/register
20220401	16:30:22	608b5da1-7144-40c4-bebe-21c2224bcff6	POST	undefined	/register
20220401	16:30:54	6a9f89f4-4632-4007-b04f-a40bcacbeed3	POST	undefined	/auth
20220401	16:31:53	d61773cd-b958-439e-a2fb-6748223064f8	POST	undefined	/refresh
20220401	16:33:45	fd963b9e-47dd-4858-80fe-86e0c935334d	POST	undefined	/auth
20220401	16:34:06	919127df-91ca-4355-b4fd-081959ec6f50	POST	undefined	/refresh
20220401	17:03:49	e14e25f0-3451-4b8a-9d35-d8e22e3ec2a4	POST	undefined	/auth
20220401	17:04:02	cada8ff0-a7c8-41ae-a0e4-d6149382bd60	POST	undefined	/auth
20220401	17:04:35	90cefb50-47ea-44e2-83cf-612a6da0bb7c	GET	undefined	/employees
20220401	17:04:35	6df11365-4683-43f0-84eb-31cee0eacc7e	GET	undefined	/css/style.css
20220401	17:06:16	5b0b7067-3acd-46e3-b701-1cfa018bd3ec	GET	undefined	/recipes
20220401	17:09:24	cb42e44c-35c2-471b-a71f-1f0f295f8630	POST	undefined	/auth
20220401	17:09:36	05d4b2b3-f8c8-4c66-b056-d36167e10a42	GET	undefined	/recipes
